Tiny file,32-,64-,128-,256-,512-,1024-
1-,521254,284308,141337,73988,42888,19248
3-,579355,300234,136474,62344,38244,21231
5-,294421,149621,71700,35673,21034,10183
,,,,,,
Medium file,32-,64-,128-,256-,512-,1024-
1-,8499329,4531115,2156310,983131,542522,301363
3-,7836563,4523489,1893643,1003733,453373,256331
5-,4536133,2263763,998364,564261,212543,112737
,,,,,,
Huge file,32-,64-,128-,256-,512-,1024-
1-,,16048495,7878538,4130547,2132202,972975
3-,,17637772,7546253,3829533,2456753,1123753
5-,,8364623,4633733,2367143,992363,531633
